game,rot,ordinal,nactive,set,declarer,declhand,rung,th,conf,correct,matched,violmask,violcap,violdisj,maxover,zeropost,pnamed,pbest,ptrue,bestistruth,nunknown,ncapseats,nnamedseats,ntrueseats,margspread,walloc,wok,wfeas,wtruth,named,truth
31,0,0,1,8,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,155551,153551
31,1,0,1,8,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,155551,153551
91,0,0,1,7,1,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,331111,531111
91,1,0,1,7,1,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,331111,531111
62,0,0,1,5,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,531513,531515
62,1,0,1,5,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,531513,531515
228,0,0,1,1,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,002222,004222
228,1,0,1,1,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,002222,004222
171,0,0,1,5,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,202220,402240
171,1,0,1,5,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,202220,402240
112,0,0,1,0,1,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,333311,355311
112,1,0,1,0,1,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,333311,355311
83,0,0,1,6,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,222440,224440
83,1,0,1,6,0,1,7,-1,0,0,1,0,1,1,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,222440,224440
98,0,0,1,2,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,022022,022044
98,1,0,1,2,0,2,7,-1,0,0,1,0,1,0,2,1,0,0.166667,0.166667,1,4,2,1,2,0,0,1,0,0,022022,022044
55,0,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,020420,020440
55,1,0,1,7,0,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,020420,020440
100,0,0,1,8,1,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,315131,515131
100,1,0,1,8,1,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,315131,515131
145,0,0,1,3,1,2,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,115533,115553
145,1,0,1,3,1,2,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,115533,115553
175,0,0,1,7,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,313333,315333
175,1,0,1,7,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,313333,315333
267,0,0,1,1,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,042440,022440
267,1,0,1,1,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,1,3,2,1,2,0.333333,0,1,0,0,042440,022440
223,0,0,1,7,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,202000,402000
223,1,0,1,7,0,4,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,202000,402000
