game,rot,ordinal,nactive,set,declarer,declhand,rung,th,conf,correct,matched,violmask,violcap,violdisj,maxover,zeropost,pnamed,pbest,ptrue,bestistruth,nunknown,ncapseats,nnamedseats,ntrueseats,margspread,walloc,wok,wfeas,wtruth,named,truth
60,0,0,1,6,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,222002,422002
135,1,0,1,7,1,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,331311,331511
241,1,0,1,7,1,1,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,331555,351555
139,1,0,1,7,1,1,7,-1,0,0,1,0,1,1,2,1,0,0.166667,0.166667,0,4,2,1,2,0,0,1,0,0,331533,531535
140,1,0,1,8,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,335331,355331
215,0,0,1,4,0,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,020220,040220
96,1,0,1,7,1,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,335513,335515
262,1,0,1,8,1,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,113133,113153
204,1,0,1,2,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,515315,515313
115,1,0,1,4,1,2,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,131333,151333
265,1,0,1,6,1,3,7,-1,0,0,1,0,1,0,1,1,0,0.333333,0.333333,0,3,2,1,2,0.333333,0,1,0,0,115515,115513
266,1,0,1,6,1,3,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,131331,131531
87,1,0,1,8,1,2,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,151353,151355
192,0,0,1,8,0,3,7,-1,0,0,1,0,1,1,1,1,0,0.5,0.5,1,2,2,1,2,0,0,1,0,0,220020,240020
74,0,0,1,8,0,2,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,402202,404202
254,0,0,1,8,0,1,7,-1,0,0,1,0,1,0,1,1,0,0.5,0.5,0,2,2,1,2,0,0,1,0,0,242022,242042
