deal,rot,event,seat,team,kind,card,target,set,hit,ownLocked,oppLocked,truthHolder,dead,gateBound,searched,changed,nCand,nTie,nFeasible,p,margin,score,pAlloc,unresolved
0,0,0,2,0,0,16,1,2,0,0,0,5,0,0,0,0,81,9,0,0.200000,0.000000,-0.367459,-1.000000,45
0,0,4,2,0,0,17,1,2,1,0,0,1,0,0,0,0,81,3,0,1.000000,0.000000,17.942961,-1.000000,45
0,0,5,2,0,0,12,1,2,1,0,0,1,0,0,0,0,80,2,0,1.000000,0.000000,19.097065,-1.000000,45
0,0,6,2,0,0,14,1,2,1,0,0,1,0,0,0,0,79,1,0,1.000000,12.833577,20.877996,-1.000000,45
0,0,7,2,0,0,13,3,2,1,0,0,3,0,0,0,0,76,4,0,0.250000,0.000000,10.474426,-1.000000,44
0,0,8,2,0,0,16,5,2,1,0,0,5,0,0,0,0,74,1,0,0.257143,0.125284,13.475474,-1.000000,43
0,0,9,0,0,1,-1,-1,2,1,1,0,-1,0,0,0,0,40,0,32,1.000000,0.000000,0.000000,1.000000,40
0,0,10,2,0,0,18,1,3,0,0,0,5,0,0,0,0,72,12,0,0.190476,0.000000,-0.498081,-1.000000,42
0,0,13,2,0,0,19,1,3,1,0,0,1,0,0,0,0,71,1,0,1.000000,4.962790,19.004477,-1.000000,42
0,0,14,2,0,0,22,1,3,0,0,0,3,0,0,0,0,70,2,0,0.771075,0.000000,15.214023,-1.000000,42
0,0,18,0,0,0,1,3,0,0,0,0,2,0,0,0,0,63,6,0,0.213333,0.000000,0.262732,-1.000000,37
0,0,20,4,0,0,18,5,3,1,0,0,5,0,0,0,0,56,2,0,1.000000,0.000000,16.642258,-1.000000,36
0,0,21,4,0,0,22,3,3,1,0,0,3,0,0,0,0,55,1,0,1.000000,0.596052,20.282917,-1.000000,36
0,0,22,4,0,0,19,1,3,1,0,0,1,0,0,0,0,53,3,0,1.000000,0.000000,20.551302,-1.000000,35
0,0,23,4,0,0,20,1,3,1,0,0,1,0,0,0,0,52,2,0,1.000000,0.000000,21.661879,-1.000000,35
0,0,24,4,0,0,21,1,3,1,0,0,1,0,0,0,0,49,1,0,1.000000,24.936874,27.241678,-1.000000,34
0,0,25,0,0,1,-1,-1,3,1,1,0,-1,0,0,0,0,34,0,16,1.000000,0.000000,0.000000,1.000000,34
0,0,26,4,0,0,53,3,8,0,0,0,0,0,0,0,0,48,3,0,0.221345,0.000000,1.621656,-1.000000,34
0,0,31,4,0,0,53,1,8,0,0,0,0,0,0,0,0,47,2,0,0.288115,0.000000,9.571611,-1.000000,31
0,0,33,0,0,0,52,1,8,0,0,0,5,0,0,0,0,53,5,0,0.118030,0.000000,4.434777,-1.000000,33
0,0,35,0,0,0,52,5,8,1,0,0,5,0,0,0,0,51,1,0,0.158535,0.000798,7.009704,-1.000000,33
0,0,36,0,0,0,51,5,8,0,0,0,4,0,0,0,0,49,4,0,0.108912,0.000000,8.308447,-1.000000,32
0,0,38,0,0,0,50,5,8,0,0,0,4,0,0,0,0,48,3,0,0.095619,0.000000,8.797619,-1.000000,32
0,0,40,0,0,0,49,5,8,0,0,0,3,0,0,0,0,47,2,0,0.094950,0.000000,8.894413,-1.000000,32
0,0,42,0,0,0,48,5,8,0,0,0,4,0,0,0,0,46,1,0,0.102450,0.103520,9.148314,-1.000000,32
0,0,44,4,0,0,49,1,8,0,0,0,3,0,0,0,0,41,1,0,0.354457,0.406426,16.135609,-1.000000,30
0,0,47,4,0,0,49,3,8,1,0,0,3,0,0,0,0,38,1,0,0.592671,6.717017,18.489054,-1.000000,29
0,0,48,4,0,1,-1,-1,8,1,1,0,-1,0,0,0,0,28,0,2,1.000000,0.000000,0.000000,1.000000,28
0,0,49,4,0,0,28,1,4,1,0,0,1,0,0,0,0,36,1,0,1.000000,4.818433,12.165360,-1.000000,27
